Customer_ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST_00095,262,1,1167.88,2,1,4,214,Regular
CUST_00096,270,1,14.65,2,1,1,211,Regular
CUST_00097,344,1,616.85,1,1,3,113,At Risk
CUST_00098,108,1,444.91,4,1,3,413,Regular
CUST_00099,315,1,235.59,2,1,2,212,Regular
CUST_00100,92,1,1722.72,4,1,4,414,Regular
CUST_00101,102,1,2291.88,4,1,4,414,Regular
CUST_00102,120,1,220.17000000000002,3,1,2,312,Regular
CUST_00103,415,1,734.8,1,1,3,113,At Risk
CUST_00104,140,1,2036.4899999999998,3,1,4,314,Regular
CUST_00105,126,1,169.86,3,1,2,312,Regular
CUST_00106,364,1,2507.04,1,1,4,114,At Risk
CUST_00107,178,1,1780.56,3,1,4,314,Regular
CUST_00108,78,1,107.61,4,1,1,411,Regular
CUST_00109,326,1,226.86,2,1,2,212,Regular
CUST_00110,368,1,709.95,1,1,3,113,At Risk
CUST_00111,215,1,245.23,3,1,2,312,Regular
CUST_00112,257,1,54.709999999999994,2,1,1,211,Regular
CUST_00113,313,1,68.43,2,1,1,211,Regular
CUST_00114,124,1,723.28,3,1,3,313,Regular
CUST_00115,99,1,3144.07,4,1,4,414,Regular
CUST_00116,166,1,33.8,3,1,1,311,Regular
CUST_00117,339,1,89.46,1,1,1,111,At Risk
CUST_00118,101,1,1044.2,4,1,4,414,Regular
CUST_00119,285,1,89.98,2,1,1,211,Regular
CUST_00120,20,1,7.89,4,1,1,411,Regular
CUST_00121,58,1,2196.95,4,1,4,414,Regular
CUST_00122,54,1,323.84999999999997,4,1,2,412,Regular
CUST_00123,423,1,11.020000000000001,1,1,1,111,At Risk
CUST_00124,334,1,252.12,1,1,2,112,At Risk
CUST_00125,31,1,1501.0500000000002,4,1,4,414,Regular
CUST_00126,435,1,185.75,1,1,2,112,At Risk
CUST_00127,39,1,1003.04,4,1,4,414,Regular
CUST_00128,290,1,466.1,2,1,3,213,Regular
CUST_00129,246,1,77.16,2,1,1,211,Regular
CUST_00130,314,1,464.11,2,1,3,213,Regular
CUST_00131,418,1,234.44,1,1,2,112,At Risk
CUST_00132,343,1,383.14,1,1,3,113,At Risk
CUST_00133,161,1,136.26,3,1,2,312,Regular
CUST_00134,3,1,1321.2,4,1,4,414,Regular
CUST_00135,84,1,1609.6899999999998,4,1,4,414,Regular
CUST_00136,290,1,176.88,2,1,2,212,Regular
CUST_00137,343,1,1325.6,1,1,4,114,At Risk
CUST_00138,116,1,62.99000000000001,3,1,1,311,Regular
CUST_00139,196,1,270.21,3,1,2,312,Regular
CUST_00140,249,1,1028.8799999999999,2,1,4,214,Regular
CUST_00141,122,1,991.7099999999999,3,1,4,314,Regular
CUST_00142,217,1,64.15,3,1,1,311,Regular
CUST_00143,378,1,1442.24,1,1,4,114,At Risk
CUST_00144,316,1,472.78999999999996,2,1,3,213,Regular
CUST_00145,380,1,275.43,1,1,2,112,At Risk
CUST_00146,325,1,3937.68,2,1,4,214,Regular
CUST_00147,70,1,85.24,4,1,1,411,Regular
CUST_00148,164,1,7374.24,3,1,4,314,Regular
CUST_00149,176,1,346.94,3,1,3,313,Regular
CUST_00150,317,1,135.98,2,1,2,212,Regular
CUST_00151,69,1,102.45,4,1,1,411,Regular
CUST_00152,152,1,100.89,3,1,1,311,Regular
CUST_00153,232,1,879.6600000000001,2,1,3,213,Regular
CUST_00154,153,1,159.53,3,1,2,312,Regular
CUST_00155,247,1,257.99,2,1,2,212,Regular
CUST_00156,266,1,114.28,2,1,1,211,Regular
CUST_00157,339,1,2005.25,1,1,4,114,At Risk
CUST_00158,381,1,1406.4,1,1,4,114,At Risk
CUST_00159,191,1,42.43,3,1,1,311,Regular
CUST_00160,199,1,30.78,3,1,1,311,Regular
CUST_00161,405,1,4731.0,1,1,4,114,At Risk
CUST_00162,65,1,339.57,4,1,3,413,Regular
CUST_00163,427,1,2099.56,1,1,4,114,At Risk
CUST_00164,11,1,221.81,4,1,2,412,Regular
CUST_00165,395,1,112.17999999999999,1,1,1,111,At Risk
CUST_00166,373,1,85.71,1,1,1,111,At Risk
CUST_00167,130,1,1409.6100000000001,3,1,4,314,Regular
CUST_00168,370,1,709.6500000000001,1,1,3,113,At Risk
CUST_00169,46,1,28.21,4,1,1,411,Regular
CUST_00170,103,1,58.14,4,1,1,411,Regular
CUST_00171,235,1,99.2,2,1,1,211,Regular
CUST_00172,146,1,4428.32,3,1,4,314,Regular
CUST_00173,419,1,4690.59,1,1,4,114,At Risk
CUST_00174,254,1,617.46,2,1,3,213,Regular
CUST_00175,256,1,176.32,2,1,2,212,Regular
CUST_00176,146,1,22.1,3,1,1,311,Regular
CUST_00177,212,1,226.5,3,1,2,312,Regular
CUST_00178,181,1,318.46000000000004,3,1,2,312,Regular
CUST_00179,323,1,2848.29,2,1,4,214,Regular
CUST_00180,168,1,705.7199999999999,3,1,3,313,Regular
CUST_00181,11,1,239.92,4,1,2,412,Regular
CUST_00182,446,1,136.19,1,1,2,112,At Risk
CUST_00183,103,1,2662.8500000000004,4,1,4,414,Regular
CUST_00184,82,1,69.8,4,1,1,411,Regular
CUST_00185,393,1,6229.910000000001,1,1,4,114,At Risk
CUST_00186,102,1,16000.85,4,1,4,414,Regular
CUST_00187,177,1,253.96000000000004,3,1,2,312,Regular
CUST_00188,67,1,6776.73,4,1,4,414,Regular
CUST_00189,315,1,6057.6900000000005,2,1,4,214,Regular
CUST_00190,58,1,177.71,4,1,2,412,Regular
CUST_00191,123,1,675.6,3,1,3,313,Regular
CUST_00192,277,1,176.38,2,1,2,212,Regular
CUST_00193,394,1,2450.69,1,1,4,114,At Risk
CUST_00194,301,1,253.79999999999998,2,1,2,212,Regular
CUST_00195,229,1,1684.8000000000002,2,1,4,214,Regular
CUST_00196,371,1,371.88,1,1,3,113,At Risk
CUST_00197,219,1,274.32,3,1,2,312,Regular
CUST_00198,450,1,81.91,1,1,1,111,At Risk
CUST_00199,82,1,599.47,4,1,3,413,Regular
CUST_00200,3,1,192.16,4,1,2,412,Regular
CUST_00201,83,1,1364.56,4,1,4,414,Regular
CUST_00202,317,1,370.0,2,1,3,213,Regular
CUST_00203,195,1,149.18,3,1,2,312,Regular
CUST_00204,61,1,345.35,4,1,3,413,Regular
CUST_00205,360,1,318.36,1,1,2,112,At Risk
CUST_00206,192,1,167.61,3,1,2,312,Regular
CUST_00207,397,1,397.89,1,1,3,113,At Risk
CUST_00208,6,1,107.86,4,1,1,411,Regular
CUST_00209,131,1,1741.53,3,1,4,314,Regular
CUST_00210,299,1,279.46,2,1,2,212,Regular
CUST_00211,21,1,629.32,4,1,3,413,Regular
CUST_00212,124,1,496.70000000000005,3,1,3,313,Regular
CUST_00213,192,1,208.7,3,1,2,312,Regular
CUST_00214,140,1,272.56,3,1,2,312,Regular
CUST_00215,350,1,2003.75,1,1,4,114,At Risk
CUST_00216,373,1,58.2,1,1,1,111,At Risk
CUST_00217,260,1,419.19,2,1,3,213,Regular
CUST_00218,61,1,875.66,4,1,3,413,Regular
CUST_00219,369,1,30.85,1,1,1,111,At Risk
CUST_00220,175,1,518.07,3,1,3,313,Regular
CUST_00221,53,1,1907.76,4,1,4,414,Regular
CUST_00222,180,1,193.51000000000002,3,1,2,312,Regular
CUST_00223,451,1,122.46,1,1,1,111,At Risk
CUST_00224,145,1,4286.8,3,1,4,314,Regular
CUST_00225,286,1,1132.02,2,1,4,214,Regular
CUST_00226,201,1,592.09,3,1,3,313,Regular
CUST_00227,442,1,78.19,1,1,1,111,At Risk
CUST_00228,394,1,2424.75,1,1,4,114,At Risk
CUST_00229,266,1,109.85,2,1,1,211,Regular
CUST_00230,2,1,3948.7599999999993,4,1,4,414,Regular
CUST_00231,26,1,706.83,4,1,3,413,Regular
CUST_00232,38,1,146.1,4,1,2,412,Regular
CUST_00233,294,1,347.04999999999995,2,1,3,213,Regular
CUST_00234,329,1,27.620000000000005,2,1,1,211,Regular
CUST_00235,422,1,785.55,1,1,3,113,At Risk
CUST_00236,328,1,26.92,2,1,1,211,Regular
CUST_00237,2,1,157.19,4,1,2,412,Regular
CUST_00238,161,1,49.3,3,1,1,311,Regular
CUST_00239,411,1,532.88,1,1,3,113,At Risk
CUST_00240,408,1,10295.599999999999,1,1,4,114,At Risk
CUST_00241,77,1,772.72,4,1,3,413,Regular
CUST_00242,203,1,458.12,3,1,3,313,Regular
CUST_00243,34,1,99.82,4,1,1,411,Regular
CUST_00244,416,1,21.76,1,1,1,111,At Risk
CUST_00245,62,1,873.32,4,1,3,413,Regular
CUST_00246,179,1,1106.75,3,1,4,314,Regular
CUST_00247,59,1,225.7,4,1,2,412,Regular
CUST_00248,387,1,324.57,1,1,2,112,At Risk
CUST_00249,386,1,142.5,1,1,2,112,At Risk
CUST_00250,114,1,37.12,3,1,1,311,Regular
CUST_00251,208,1,555.28,3,1,3,313,Regular
CUST_00252,170,1,1317.6499999999999,3,1,4,314,Regular
CUST_00253,367,1,192.69,1,1,2,112,At Risk
CUST_00254,316,1,966.8700000000001,2,1,3,213,Regular
CUST_00255,181,1,30.53,3,1,1,311,Regular
CUST_00256,5,1,1346.3,4,1,4,414,Regular
CUST_00257,141,1,203.37,3,1,2,312,Regular
CUST_00258,235,1,45.38,2,1,1,211,Regular
CUST_00259,343,1,219.57,1,1,2,112,At Risk
CUST_00260,175,1,45.4,3,1,1,311,Regular
CUST_00261,65,1,213.2,4,1,2,412,Regular
CUST_00262,78,1,394.52,4,1,3,413,Regular
CUST_00263,98,1,965.6700000000001,4,1,3,413,Regular
CUST_00264,349,1,122.17,1,1,1,111,At Risk
CUST_00265,86,1,1069.82,4,1,4,414,Regular
CUST_00266,292,1,133.05,2,1,2,212,Regular
CUST_00267,247,1,72.26,2,1,1,211,Regular
CUST_00268,108,1,576.91,4,1,3,413,Regular
CUST_00269,119,1,955.44,3,1,3,313,Regular
CUST_00270,260,1,68.48,2,1,1,211,Regular
CUST_00271,227,1,135.01000000000002,2,1,2,212,Regular
CUST_00272,187,1,63.62,3,1,1,311,Regular
CUST_00273,220,1,79.71000000000001,3,1,1,311,Regular
CUST_00274,390,1,431.26000000000005,1,1,3,113,At Risk
CUST_00275,325,1,221.34,2,1,2,212,Regular
CUST_00276,336,1,1025.35,1,1,4,114,At Risk
CUST_00277,419,1,228.28,1,1,2,112,At Risk
CUST_00278,278,1,363.12,2,1,3,213,Regular
CUST_00279,441,1,1148.11,1,1,4,114,At Risk
CUST_00280,150,1,659.8,3,1,3,313,Regular
CUST_00281,168,1,570.61,3,1,3,313,Regular
CUST_00282,334,1,1843.57,1,1,4,114,At Risk
CUST_00283,150,1,188.47,3,1,2,312,Regular
CUST_00284,339,1,2300.52,1,1,4,114,At Risk
CUST_00285,448,1,3585.1600000000003,1,1,4,114,At Risk
CUST_00286,415,1,233.52,1,1,2,112,At Risk
CUST_00287,89,1,160.47,4,1,2,412,Regular
CUST_00288,128,1,123.17000000000002,3,1,2,312,Regular
CUST_00289,421,1,267.36,1,1,2,112,At Risk
CUST_00290,334,1,1484.76,1,1,4,114,At Risk
CUST_00291,417,1,349.92,1,1,3,113,At Risk
CUST_00292,435,1,140.69,1,1,2,112,At Risk
CUST_00293,11,1,584.78,4,1,3,413,Regular
CUST_00294,282,1,261.44,2,1,2,212,Regular
CUST_00295,415,1,81.6,1,1,1,111,At Risk
CUST_00296,188,1,246.94,3,1,2,312,Regular
CUST_00297,330,1,242.73,2,1,2,212,Regular
CUST_00298,309,1,1436.44,2,1,4,214,Regular
CUST_00299,109,1,51.25,4,1,1,411,Regular
CUST_00300,203,1,501.65,3,1,3,313,Regular
CUST_00301,342,1,1176.7,1,1,4,114,At Risk
CUST_00302,175,1,151.13,3,1,2,312,Regular
CUST_00303,384,1,228.88,1,1,2,112,At Risk
CUST_00304,81,1,6359.049999999999,4,1,4,414,Regular
CUST_00305,159,1,1623.3100000000002,3,1,4,314,Regular
CUST_00306,156,1,332.34,3,1,2,312,Regular
CUST_00307,209,1,1406.24,3,1,4,314,Regular
CUST_00308,327,1,76.77,2,1,1,211,Regular
CUST_00309,50,1,63.0,4,1,1,411,Regular
CUST_00310,209,1,234.0,3,1,2,312,Regular
CUST_00311,38,1,352.48,4,1,3,413,Regular
CUST_00312,243,1,1351.23,2,1,4,214,Regular
CUST_00313,354,1,424.15,1,1,3,113,At Risk
CUST_00314,403,1,143.4,1,1,2,112,At Risk
CUST_00315,402,1,471.06000000000006,1,1,3,113,At Risk
CUST_00316,114,1,15454.369999999999,3,1,4,314,Regular
CUST_00317,231,1,3802.5,2,1,4,214,Regular
CUST_00318,270,1,318.6,2,1,2,212,Regular
CUST_00319,235,1,81.44,2,1,1,211,Regular
CUST_00320,241,1,72.16,2,1,1,211,Regular
CUST_00321,212,1,1077.56,3,1,4,314,Regular
CUST_00322,9,1,460.4,4,1,3,413,Regular
CUST_00323,78,1,5528.610000000001,4,1,4,414,Regular
CUST_00324,424,1,49.39,1,1,1,111,At Risk
CUST_00325,107,1,314.4,4,1,2,412,Regular
CUST_00326,117,1,458.52,3,1,3,313,Regular
CUST_00327,121,1,129.39,3,1,2,312,Regular
CUST_00328,401,1,33.42,1,1,1,111,At Risk
CUST_00329,420,1,394.76,1,1,3,113,At Risk
CUST_00330,245,1,644.84,2,1,3,213,Regular
CUST_00331,79,1,4554.450000000001,4,1,4,414,Regular
CUST_00332,278,1,126.5,2,1,2,212,Regular
CUST_00333,42,1,428.3,4,1,3,413,Regular
CUST_00334,10,1,457.5,4,1,3,413,Regular
CUST_00335,396,1,1030.8,1,1,4,114,At Risk
CUST_00336,324,1,49.39,2,1,1,211,Regular
CUST_00337,353,1,76.27,1,1,1,111,At Risk
CUST_00338,354,1,1025.43,1,1,4,114,At Risk
CUST_00339,177,1,1779.8,3,1,4,314,Regular
CUST_00340,222,1,392.76,3,1,3,313,Regular
CUST_00341,380,1,352.49,1,1,3,113,At Risk
CUST_00342,235,1,1926.15,2,1,4,214,Regular
CUST_00343,358,1,255.96,1,1,2,112,At Risk
CUST_00344,309,1,1111.6,2,1,4,214,Regular
CUST_00345,215,1,2615.7999999999997,3,1,4,314,Regular
CUST_00346,324,1,510.55,2,1,3,213,Regular
CUST_00347,4,1,248.3,4,1,2,412,Regular
CUST_00348,413,1,1689.3700000000001,1,1,4,114,At Risk
CUST_00349,225,1,1265.69,2,1,4,214,Regular
CUST_00350,38,1,1230.85,4,1,4,414,Regular
CUST_00351,10,1,134.15,4,1,2,412,Regular
CUST_00352,13,1,483.58,4,1,3,413,Regular
CUST_00353,170,1,769.68,3,1,3,313,Regular
CUST_00354,401,1,281.58,1,1,2,112,At Risk
CUST_00355,426,1,824.9,1,1,3,113,At Risk
CUST_00356,118,1,151.26,3,1,2,312,Regular
CUST_00357,175,1,398.92,3,1,3,313,Regular
CUST_00358,23,1,645.31,4,1,3,413,Regular
CUST_00359,444,1,283.77,1,1,2,112,At Risk
CUST_00360,404,1,140.24,1,1,2,112,At Risk
CUST_00361,66,1,538.9300000000001,4,1,3,413,Regular
CUST_00362,17,1,182.33,4,1,2,412,Regular
CUST_00363,330,1,109.9,2,1,1,211,Regular
CUST_00364,366,1,40.18,1,1,1,111,At Risk
CUST_00365,243,1,168.42000000000002,2,1,2,212,Regular
CUST_00366,203,1,14485.45,3,1,4,314,Regular
CUST_00367,205,1,548.52,3,1,3,313,Regular
CUST_00368,342,1,122.50999999999999,1,1,1,111,At Risk
CUST_00369,9,1,561.32,4,1,3,413,Regular
CUST_00370,246,1,62.46000000000001,2,1,1,211,Regular
CUST_00371,421,1,37.559999999999995,1,1,1,111,At Risk
CUST_00372,367,1,29.66,1,1,1,111,At Risk
CUST_00373,257,1,522.49,2,1,3,213,Regular
CUST_00374,450,1,431.85,1,1,3,113,At Risk
CUST_00375,252,1,32.18,2,1,1,211,Regular
CUST_00376,316,1,1624.7400000000002,2,1,4,214,Regular
CUST_00377,50,1,801.16,4,1,3,413,Regular
CUST_00378,50,1,1199.05,4,1,4,414,Regular
CUST_00379,219,1,70.96,3,1,1,311,Regular
CUST_00380,305,1,941.4499999999999,2,1,3,213,Regular
CUST_00381,235,1,796.68,2,1,3,213,Regular
CUST_00382,95,1,746.84,4,1,3,413,Regular
CUST_00383,77,1,339.09000000000003,4,1,3,413,Regular
CUST_00384,50,1,103.19999999999999,4,1,1,411,Regular
CUST_00385,167,1,1020.3499999999999,3,1,4,314,Regular
CUST_00386,113,1,297.36,3,1,2,312,Regular
CUST_00387,84,1,1566.03,4,1,4,414,Regular
CUST_00388,202,1,1000.16,3,1,4,314,Regular
CUST_00389,372,1,706.88,1,1,3,113,At Risk
CUST_00390,354,1,469.83,1,1,3,113,At Risk
CUST_00391,300,1,33.29,2,1,1,211,Regular
CUST_00392,340,1,1374.3600000000001,1,1,4,114,At Risk
CUST_00393,422,1,16.4,1,1,1,111,At Risk
CUST_00394,155,1,1371.42,3,1,4,314,Regular
CUST_00395,75,1,135.71,4,1,2,412,Regular
CUST_00396,174,1,123.69,3,1,2,312,Regular
CUST_00397,420,1,1024.26,1,1,4,114,At Risk
CUST_00398,69,1,656.9,4,1,3,413,Regular
CUST_00399,291,1,718.68,2,1,3,213,Regular
CUST_00400,422,1,356.38,1,1,3,113,At Risk
CUST_00401,426,1,118.11,1,1,1,111,At Risk
CUST_00402,152,1,1040.1,3,1,4,314,Regular
CUST_00403,207,1,361.3,3,1,3,313,Regular
CUST_00404,194,1,1401.8000000000002,3,1,4,314,Regular
CUST_00405,15,1,734.1899999999998,4,1,3,413,Regular
CUST_00406,180,1,167.22,3,1,2,312,Regular
CUST_00407,371,1,145.64,1,1,2,112,At Risk
CUST_00408,422,1,470.04,1,1,3,113,At Risk
CUST_00409,191,1,140.95,3,1,2,312,Regular
CUST_00410,410,1,149.14,1,1,2,112,At Risk
CUST_00411,16,1,303.01,4,1,2,412,Regular
CUST_00412,356,1,192.69,1,1,2,112,At Risk
CUST_00413,416,1,1456.73,1,1,4,114,At Risk
CUST_00414,147,1,130.98000000000002,3,1,2,312,Regular
CUST_00415,417,1,527.38,1,1,3,113,At Risk
CUST_00416,106,1,2579.98,4,1,4,414,Regular
CUST_00417,10,1,66.02,4,1,1,411,Regular
CUST_00418,331,1,440.2,2,1,3,213,Regular
CUST_00419,245,1,401.47999999999996,2,1,3,213,Regular
CUST_00420,390,1,28.400000000000002,1,1,1,111,At Risk
CUST_00421,160,1,23.26,3,1,1,311,Regular
CUST_00422,325,1,472.16999999999996,2,1,3,213,Regular
CUST_00423,155,1,2130.66,3,1,4,314,Regular
CUST_00424,147,1,142.84,3,1,2,312,Regular
CUST_00425,431,1,103.29,1,1,1,111,At Risk
CUST_00426,134,1,225.54,3,1,2,312,Regular
CUST_00427,410,1,6363.9800000000005,1,1,4,114,At Risk
CUST_00428,237,1,81.83,2,1,1,211,Regular
CUST_00429,115,1,53.66,3,1,1,311,Regular
CUST_00430,153,1,45.25,3,1,1,311,Regular
CUST_00431,162,1,3569.16,3,1,4,314,Regular
CUST_00432,184,1,1028.79,3,1,4,314,Regular
CUST_00433,290,1,4180.2,2,1,4,214,Regular
CUST_00434,318,1,550.06,2,1,3,213,Regular
CUST_00435,347,1,49.519999999999996,1,1,1,111,At Risk
CUST_00436,109,1,467.49,4,1,3,413,Regular
CUST_00437,85,1,165.64,4,1,2,412,Regular
CUST_00438,291,1,1539.87,2,1,4,214,Regular
CUST_00439,329,1,1513.47,2,1,4,214,Regular
CUST_00440,316,1,475.64,2,1,3,213,Regular
CUST_00441,249,1,11.65,2,1,1,211,Regular
CUST_00442,384,1,84.60000000000001,1,1,1,111,At Risk
CUST_00443,108,1,1271.38,4,1,4,414,Regular
CUST_00444,121,1,264.79,3,1,2,312,Regular
CUST_00445,298,1,132.39,2,1,2,212,Regular
CUST_00446,217,1,3623.48,3,1,4,314,Regular
CUST_00447,290,1,110.03,2,1,1,211,Regular
CUST_00448,67,1,593.4,4,1,3,413,Regular
CUST_00449,414,1,2134.2599999999998,1,1,4,114,At Risk
CUST_00450,447,1,66.91,1,1,1,111,At Risk
CUST_00451,217,1,141.95999999999998,3,1,2,312,Regular
CUST_00452,133,1,952.75,3,1,3,313,Regular
CUST_00453,163,1,42.57,3,1,1,311,Regular
CUST_00454,400,1,214.36,1,1,2,112,At Risk
CUST_00455,414,1,271.90999999999997,1,1,2,112,At Risk
CUST_00456,176,1,507.24,3,1,3,313,Regular
CUST_00457,342,1,122.34,1,1,1,111,At Risk
CUST_00458,192,1,1331.82,3,1,4,314,Regular
CUST_00459,316,1,855.08,2,1,3,213,Regular
CUST_00460,384,1,192.46,1,1,2,112,At Risk
CUST_00461,273,1,108.30000000000001,2,1,1,211,Regular
CUST_00462,416,1,410.1,1,1,3,113,At Risk
CUST_00463,1,1,59.519999999999996,4,1,1,411,Regular
CUST_00464,326,1,206.18,2,1,2,212,Regular
CUST_00465,262,1,1717.15,2,1,4,214,Regular
CUST_00466,306,1,163.89,2,1,2,212,Regular
CUST_00467,371,1,215.07,1,1,2,112,At Risk
CUST_00468,227,1,159.43,2,1,2,212,Regular
CUST_00469,25,1,88.01,4,1,1,411,Regular
CUST_00470,173,1,51.96,3,1,1,311,Regular
CUST_00471,91,1,61.93,4,1,1,411,Regular
CUST_00472,297,1,17099.300000000003,2,1,4,214,Regular
CUST_00473,138,1,19.34,3,1,1,311,Regular
CUST_00474,38,1,76.66,4,1,1,411,Regular
CUST_00475,117,1,235.12,3,1,2,312,Regular
CUST_00476,181,1,1451.8400000000001,3,1,4,314,Regular
CUST_00477,447,1,155.45999999999998,1,1,2,112,At Risk
CUST_00478,110,1,410.32,4,1,3,413,Regular
CUST_00479,33,1,508.02,4,1,3,413,Regular
CUST_00480,168,1,558.8,3,1,3,313,Regular
CUST_00481,298,1,166.69,2,1,2,212,Regular
CUST_00482,112,1,86.96,4,1,1,411,Regular
CUST_00483,398,1,911.25,1,1,3,113,At Risk
CUST_00484,2,1,207.48,4,1,2,412,Regular
CUST_00485,383,1,1852.09,1,1,4,114,At Risk
CUST_00486,316,1,173.9,2,1,2,212,Regular
CUST_00487,392,1,217.56,1,1,2,112,At Risk
CUST_00488,397,1,42.67,1,1,1,111,At Risk
CUST_00489,71,1,812.8,4,1,3,413,Regular
CUST_00490,168,1,252.57000000000002,3,1,2,312,Regular
CUST_00491,372,1,103.22,1,1,1,111,At Risk
CUST_00492,312,1,750.72,2,1,3,213,Regular
